Inscription_ID,Site,Context,Type,Phonetic_Reading,Accumulated_Frequency_Hz,Musical_Note,Dominant_Chakra,Function_Interpretation,Harmonic_Quality,Key_Signature,Individual_Frequencies,Chakra_Distribution
HT 1,Hagia Triada,administrative,wine_record,KA-DE-TA,96.63,G1,throat,"Communication, truth, expression, clarity - Sacred libation ceremony with frequency-specific blessing",mixed,C major,97.09; 90.73; 102.07,"{'root': 1, 'throat': 2}"
HT 6,Hagia Triada,administrative,vessel_inventory,KA-PA-QA-E,116.56,A#2,root,"Grounding, material stability, physical manifestation - Consecration of containers for ritual use",mixed,C major,97.09; 168.34; 64.73; 136.1,"{'root': 2, 'sacral': 1, 'throat': 1}"
HT 13,Hagia Triada,wine_inventory,ritual_blessing,KA-DE-TA,96.63,G1,throat,"Communication, truth, expression, clarity - Energetic sanctification through sound vibration",mixed,C major,97.09; 90.73; 102.07,"{'root': 1, 'throat': 2}"
HT 31,Hagia Triada,vessels,pottery_blessing,TA-I-SA-PA-U,170.61,F2,throat,"Communication, truth, expression, clarity - Imbuing vessels with protective frequencies",mixed,E major,102.07; 221.23; 189.33; 168.34; 172.06,"{'throat': 1, 'third_eye': 1, 'solar': 1, 'sacral': 1, 'crown': 1}"
HT 95,Hagia Triada,administrative,total_summary,KU-RO,118.68,A#2,root,"Grounding, material stability, physical manifestation - General ritual application",consonant,C major,97.09; 140.28,"{'root': 1, 'sacral': 1}"
HT 117,Hagia Triada,religious,goddess_invocation,A-TA-A-NA-A-PA-O-TA-I-NA-I-A,230.82,A#3,heart,"Love, compassion, harmony, emotional balance - Calling divine feminine energy through specific tones",mixed,G major,341.3; 102.07; 341.3; 189.63; 341.3; 168.34; 210.42; 102.07; 221.23; 189.63; 221.23; 341.3,"{'heart': 4, 'throat': 2, 'third_eye': 4, 'sacral': 2}"
PH 1,Phaistos,religious,purification_chant,A-SA-A-SA-RA-A,257.14,C3,heart,"Love, compassion, harmony, emotional balance - Cleansing ritual using harmonic frequencies",mixed,A major,341.3; 189.33; 341.3; 189.33; 140.28; 341.3,"{'heart': 3, 'solar': 2, 'sacral': 1}"
PH 6,Phaistos,religious,earth_goddess,DE-A-MA-A-TA-E,215.99,A3,throat,"Communication, truth, expression, clarity - General ritual application",mixed,F major,90.73; 341.3; 284.42; 341.3; 102.07; 136.1,"{'throat': 3, 'heart': 3}"
PH 12,Phaistos,religious,mother_goddess,I-DE-A-MA-A-TA-E,216.74,A3,throat,"Communication, truth, expression, clarity - General ritual application",mixed,F major,221.23; 90.73; 341.3; 284.42; 341.3; 102.07; 136.1,"{'third_eye': 1, 'throat': 3, 'heart': 3}"
PH 31,Phaistos,religious,sacred_grove,KI-I-RA-I-TA-A,192.59,G2,third_eye,"Wisdom, intuition, spiritual insight, foresight - General ritual application",mixed,F major,129.45; 221.23; 140.28; 221.23; 102.07; 341.3,"{'root': 1, 'third_eye': 2, 'sacral': 1, 'throat': 1, 'heart': 1}"
